Date;Open;High;Low;Close;Adj Close;Volume
01/12/2000;2,81551;3,12944;2,79001;3,06321;2,174776;209856
01/01/2001;2,90608;3,37781;2,90591;3,08805;2,192414;1641379449
01/02/2001;3,12448;3,12448;2,76517;2,82312;2,004321;1210551922
01/03/2001;2,84796;3,09633;2,54992;2,78189;1,97505;2051226063
01/04/2001;2,64281;2,94731;2,5168;2,93075;2,080734;1888971204
01/05/2001;2,93075;3,24535;2,80656;3,16256;2,245313;1804129538
01/06/2001;3,16256;3,35298;2,95559;3,3447;2,374626;2026271208
01/07/2001;3,29502;3,35298;2,84796;3,22697;2,291041;1740111765
01/08/2001;3,21223;3,29502;2,89813;2,90674;2,063689;1785576464
01/09/2001;2,88439;2,91419;2,31148;2,81484;1,998442;1424141782
01/10/2001;2,78173;3,0301;2,53336;2,83968;2,01608;2167339804
01/11/2001;2,81484;3,14021;2,81484;2,91419;2,068978;2941991088
01/12/2001;2,91419;3,04831;2,75689;2,91403;2,068864;2580447701
01/01/2002;2,93058;3,05493;2,78173;2,80623;1,992331;2245248228
01/02/2002;2,81484;3,47716;2,74696;3,38609;2,404011;2856702506
01/03/2002;3,31158;3,3447;3,04665;3,07149;2,180656;2371773919
01/04/2002;3,09633;3,31141;2,98042;3,10461;2,204171;2934115700
01/05/2002;3,06321;3,10279;2,79829;2,87445;2,040764;2128470147
01/06/2002;2,90028;2,94664;2,38103;2,64926;1,880887;3377070367
01/07/2002;2,58403;2,81484;1,8217;2,0449;1,451811;5571164770
01/08/2002;2,03993;2,61979;1,92088;2,40917;1,710431;5712076341
01/09/2002;2,4307;2,44146;1,87121;1,96625;1,395972;3105502141
01/10/2002;2,03894;2,66582;1,90432;2,64926;1,880887;5054130666
01/11/2002;2,61631;2,65754;2,35122;2,53336;1,798601;2953345186
01/12/2002;2,60787;2,89763;2,43401;2,83968;2,01608;2498782763
01/01/2003;2,81468;2,92578;2,47375;2,55836;1,81635;2741639621
01/02/2003;2,55836;2,67079;2,44428;2,59959;1,845622;1992414262
01/03/2003;2,61698;3,09633;2,57393;3,04483;2,161729;2001183491
01/04/2003;3,06321;3,3447;2,93075;3,19568;2,268828;3500310619
01/05/2003;3,19352;3,4606;3,15014;3,31158;2,351111;3446439059
01/06/2003;3,32814;3,35298;3,146;3,15461;2,239668;2237590252
01/07/2003;3,14617;3,55978;3,09633;3,52683;2,503932;2558041480
01/08/2003;3,47716;3,82488;3,3447;3,71725;2,639125;4523834011
01/09/2003;3,72387;4,02357;3,42749;3,44404;2,445155;2676921276
